iter	Passed	Remaining
0	1	111
1	1	93
2	2	82
3	3	74
4	3	72
5	4	70
6	5	69
7	5	68
8	6	67
9	7	65
10	7	64
11	8	63
12	9	62
13	9	61
14	10	60
15	11	59
16	12	58
17	12	57
18	13	57
19	14	56
20	14	55
21	15	55
22	16	54
23	16	53
24	17	53
25	18	52
26	19	51
27	19	51
28	20	50
29	21	50
30	22	49
31	22	48
32	23	48
33	24	47
34	25	46
35	25	45
36	26	45
37	27	44
38	28	43
39	28	43
40	29	42
41	29	41
42	30	40
43	31	39
44	31	39
45	32	38
46	33	37
47	34	36
48	34	36
49	35	35
50	36	34
51	36	34
52	37	33
53	38	32
54	38	31
55	39	31
56	40	30
57	40	29
58	41	28
59	42	28
60	42	27
61	43	26
62	44	26
63	44	25
64	45	24
65	46	23
66	47	23
67	47	22
68	48	21
69	49	21
70	50	20
71	50	19
72	51	19
73	52	18
74	52	17
75	53	16
76	54	16
77	55	15
78	55	14
79	56	14
80	57	13
81	58	12
82	58	12
83	59	11
84	60	10
85	61	9
86	61	9
87	62	8
88	63	7
89	64	7
90	64	6
91	65	5
92	66	4
93	66	4
94	67	3
95	68	2
96	68	2
97	69	1
98	70	0
99	71	0
